"Technical Name","SR_INSTANCE_CODE","PLAN_NAME","MEASURE_NAME","PRD_LVL_NAME","PRD_LVL_MEMBER_NAME","ORG_LVL_NAME","ORG_LVL_MEMBER_NAME","CUS_LVL_NAME","CUS_LVL_MEMBER_NAME ","CUS_SITE_LVL_MEMBER_NAME","DCS_LVL_NAME","DCS_LVL_MEMBER_NAME","TIM_LVL_NAME","TIM_LVL_MEMBER_VALUE","VALUE_NUMBER","ORDER_TYPE_FLAG","DELETED_FLAG ","SOR_LVL_NAME","SOR_LVL_MEMBER_NAME"
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/01/01","935.9430634684086","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/01/08","1015.9660609928927","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/01/15","1095.632288255329","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/01/22","1174.946612413822","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/01/29","1253.9190321661486","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/02/05","1332.5645319462285","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/02/12","1410.9028634173376","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/02/19","1488.9582574483784","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/02/26","1566.75907077325","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/03/04","1644.3373724858125","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/03/11","1721.7284764002866","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/03/18","1798.9704260963213","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/03/25","1876.1034401579373","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/04/01","1953.1693256960061","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/04/08","2030.210868706433","","","",""
"","OPS","","Bookings History: Booked Item by Booked Date","Item","AT6755000","Organization","002","Customer Site","Accelworks Pvt Ltd","1301483","Demand Class","DC1","Day","2024/04/15","2107.271210153991","","","",""
