"WorldRegion","Country","Region","SubRegion","ShipToLocation"
"AMER","USA","All","All","AMERA001"
"AMER","USA","All","All","AMERA002"
"AMER","Canada","All","All","AMERB0001"
"AMER","Canada","All","All","AMERB0002"
"AMER","Canada","All","All","AMERB0003"
"AMER","Mexico","All","All","AMERC001"
"AMER","Mexico","All","All","AMERC002"
"AMER","Mexico","All","All","AMERC003"
"AMER","Guatemala","All","All","AMERD0000001"
"AMER","Guatemala","All","All","AMERD0000002"
"AMER","Guatemala","All","All","AMERD0000003"
"AMER","Guatemala","All","All","AMERD0000004"
"AMER","Guatemala","All","All","AMERD0000005"
"AMER","Guatemala","All","All","AMERD0000006"
"AMER","Guatemala","All","All","AMERD0000007"
"AMER","Guatemala","All","All","AMERD0000008"
"AMER","Guatemala","All","All","AMERD0000009"
"AMER","Guatemala","All","All","AMERD0000010"
"AMER","Guatemala","All","All","AMERD0000011"
"AMER","Guatemala","All","All","AMERD0000012"
"AMER","Guatemala","All","All","AMERD0000013"
"AMER","Guatemala","All","All","AMERD0000014"
"AMER","Guatemala","All","All","AMERD0000015"
"AMER","Argentina","All","All","AMERE001"
"EMEA","England","All","All","EMEAA001"
"EMEA","England","All","All","EMEAA002"
"EMEA","England","All","All","EMEAA003"
"EMEA","England","All","All","EMEAA004"
"EMEA","England","All","All","EMEAA005"
"EMEA","France","All","All","EMEAB00001"
"EMEA","France","All","All","EMEAB00002"
"EMEA","France","All","All","EMEAB00003"
"EMEA","France","All","All","EMEAB00004"
"EMEA","France","All","All","EMEAB00005"
"EMEA","France","All","All","EMEAB00006"
"EMEA","France","All","All","EMEAB00007"
"EMEA","France","All","All","EMEAB00008"
"EMEA","France","All","All","EMEAB00009"
"EMEA","France","All","All","EMEAB00010"
"EMEA","Israel","All","All","EMEAC001"
"EMEA","South Africa","All","All","EMEAD0001"
"EMEA","South Africa","All","All","EMEAD0002"
"EMEA","South Africa","All","All","EMEAD0003"
"APAC","Japan","All","All","APACA001"
"APAC","Japan","All","All","APACA002"
"APAC","Japan","All","All","APACA003"
"APAC","Japan","All","All","APACA004"
"APAC","Japan","All","All","APACA005"
"APAC","China","All","All","APACB000001"
"APAC","China","All","All","APACB000002"
"APAC","China","All","All","APACB000003"
"APAC","China","All","All","APACB000004"
"APAC","Philippines","All","All","APACC001"
"APAC","Australia","All","All","APACD001"
