"Item","Location","Status","LifeCycle","TrendNPI","TrendCORE","TrendEOL","DateNPI","DateCORE","DateEOL","SafetyStockType","InitialSafetyStockValue"
"MECLC0001","AMERA001","Inactive","Core","Combined01","Slope01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","78"
"MECLC0001","AMERB0003","Active","NPI","Seasonal01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","51"
"MECLC0001","AMERB0005","Inactive","Core","Seasonal01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","14"
"MECLC0001","AMERC002","Active","NPI","Combined01","Intermitent","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","38"
"MECLC0001","AMERC005","Active","Core","Combined01","Slope01","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","82"
"MECLC0001","AMERD0000005","Active","EOL","Slope01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","60"
"MECLC0001","AMERD0000006","Active","EOL","Combined01","Seasonal01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","94"
"MECLC0001","AMERE001","Active","NPI","Slope01","Combined01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","90"
"MECLC0001","EMEAA002","Active","NPI","Combined01","Combined01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","98"
"MECLC0001","EMEAB00003","Active","Core","Seasonal01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","82"
"MECLC0001","EMEAB00004","Active","EOL","Combined01","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","89"
"MECLC0001","EMEAC002","Active","EOL","Slope01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","91"
"MECLC0001","EMEAD0001","Inactive","EOL","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","66"
"MECLC0001","EMEAD0003","Inactive","EOL","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","84"
"MECLC0001","APACA001","Active","Core","Combined01","Combined01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","54"
"MECLC0001","APACC001","Active","NPI","Combined01","Slope01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","8"
"MECLC0001","APACC002","Active","NPI","Combined01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","12"
"MECLC0001","APACD003","Active","Core","Intermitent","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","47"
"MECLC0001","APACD004","Active","EOL","Intermitent","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","46"
"MECLC0002","AMERB0003","Active","NPI","Seasonal01","Combined01","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","91"
"MECLC0002","AMERB0004","Inactive","EOL","Intermitent","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","97"
"MECLC0002","AMERC002","Inactive","Core","Slope01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","38"
"MECLC0002","AMERC003","Active","EOL","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","67"
"MECLC0002","AMERD0000002","Active","NPI","Combined01","Combined01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","68"
"MECLC0002","AMERD0000003","Active","EOL","Intermitent","Slope01","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","38"
"MECLC0002","AMERD0000006","Active","EOL","Combined01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","64"
"MECLC0002","EMEAA002","Active","EOL","Intermitent","Intermitent","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","92"
"MECLC0002","EMEAA003","Active","EOL","Seasonal01","Slope01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","55"
"MECLC0002","EMEAA004","Active","EOL","Seasonal01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","29"
"MECLC0002","EMEAB00001","Active","NPI","Combined01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","90"
"MECLC0002","EMEAB00002","Inactive","Core","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","52"
"MECLC0002","EMEAB00004","Active","NPI","Seasonal01","Slope01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","44"
"MECLC0002","EMEAB00008","Inactive","EOL","Slope01","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","37"
"MECLC0002","EMEAC001","Active","EOL","Combined01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","14"
"MECLC0002","EMEAC003","Active","Core","Combined01","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","2"
"MECLC0002","EMEAD0001","Inactive","Core","Seasonal01","Intermitent","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","43"
