"Period","Item","Location","Orders_Complete","Orders_Open","Orders_Cancelled","Orders_Returned","Forecast01","Forecast02","Inventory_starting","Inventory_capacity","Inventory_production","Inventory_end","SafetyStock01","SafetyStock02","SafetyStock03","Net_Requirement","Outcome01","Outcome02","Outcome03","Trend_type","Trend_factor1","Trend_factor2","Trend_factor3","Trend_factor4","Trend_factor5","Last_Period","Last_X_Value","Last_Y_Value"
"2024-01-01","AT6755000","Computer Service and Rentals","327.3381234399337","38","4","3","262.3381234399337","0","0.0","6000","3680.0071851599005","3352.6690617199665","491.0071851599006","0","0","491.0071851599006","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-01-01","1","327.3381234399337"
"2024-01-08","AT6755000","Computer Service and Rentals","325.52181046198035","10","1","2","302.52181046198035","0","3352.6690617199665","6000","1769.8963696659748","4797.043620923961","488.28271569297056","0","0","488.28271569297056","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-01-08","2","325.52181046198035"
"2024-01-15","AT6755000","Computer Service and Rentals","322.5750549235768","5","2","1","260.5750549235768","0","4797.043620923961","6000","378.6815438467688","4853.150109847153","483.86258238536516","0","0","483.86258238536516","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-01-15","3","322.5750549235768"
"2024-01-22","AT6755000","Computer Service and Rentals","318.54082715598855","34","5","5","352.54082715598855","0","4853.150109847153","6000","0.0","4534.6092826911645","477.8112407339828","0","0","477.8112407339828","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-01-22","4","318.54082715598855"
"2024-01-29","AT6755000","Computer Service and Rentals","313.4779552843569","32","2","5","277.4779552843569","0","4534.6092826911645","6000","0.0","4221.131327406808","470.2169329265353","0","0","470.2169329265353","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-01-29","5","313.4779552843569"
"2024-02-05","AT6755000","Computer Service and Rentals","307.4602673811647","13","3","5","261.4602673811647","0","4221.131327406808","6000","0.0","3913.6710600256433","461.1904010717471","0","0","461.1904010717471","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-02-05","6","307.4602673811647"
"2024-02-12","AT6755000","Computer Service and Rentals","300.57551488669367","24","1","2","297.57551488669367","0","3913.6710600256433","6000","0.0","3613.0955451389495","450.8632723300405","0","0","450.8632723300405","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-02-12","7","300.57551488669367"
"2024-02-19","AT6755000","Computer Service and Rentals","292.92409299542555","25","2","4","304.92409299542555","0","3613.0955451389495","6000","0.0","3320.171452143524","439.38613949313833","0","0","439.38613949313833","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-02-19","8","292.92409299542555"
"2024-02-26","AT6755000","Computer Service and Rentals","284.61757666803675","40","5","4","245.61757666803675","0","3320.171452143524","6000","0.0","3035.5538754754875","426.92636500205515","0","0","426.92636500205515","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-02-26","9","284.61757666803675"
"2024-03-04","AT6755000","Computer Service and Rentals","275.7770936172263","6","2","1","277.7770936172263","0","3035.5538754754875","6000","1156.7774053761914","3916.554187234452","413.66564042583946","0","0","413.66564042583946","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-03-04","10","275.7770936172263"
"2024-03-11","AT6755000","Computer Service and Rentals","266.5315579929091","23","1","5","228.5315579929091","0","3916.554187234452","6000","0.0","3650.0226292415427","399.79733698936366","0","0","399.79733698936366","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-03-11","11","266.5315579929091"
"2024-03-18","AT6755000","Computer Service and Rentals","257.0157905236209","4","2","4","234.01579052362092","0","3650.0226292415427","6000","0.0","3393.0068387179217","385.5236857854314","0","0","385.5236857854314","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-03-18","12","257.0157905236209"
"2024-03-25","AT6755000","Computer Service and Rentals","247.3685525267062","3","2","4","217.3685525267062","0","3393.0068387179217","6000","0.0","3145.6382861912157","371.05282879005927","0","0","371.05282879005927","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-03-25","13","247.3685525267062"
"2024-04-01","AT6755000","Computer Service and Rentals","237.730522455848","32","4","4","199.730522455848","0","3145.6382861912157","6000","3462.5532811763283","6370.461044911696","356.59578368377197","0","0","356.59578368377197","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-04-01","14","237.730522455848"
"2024-04-08","AT6755000","Computer Service and Rentals","228.24224449243292","1","1","2","240.24224449243292","0","6370.461044911696","6000","0.0","6142.218800419263","342.36336673864935","0","0","342.36336673864935","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-04-08","15","228.24224449243292"
"2024-04-15","AT6755000","Computer Service and Rentals","219.04207909490896","47","5","2","221.04207909490896","0","6142.218800419263","6000","0.0","5923.176721324354","328.5631186423634","0","0","328.5631186423634","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-04-15","16","219.04207909490896"
"2024-04-22","AT6755000","Computer Service and Rentals","210.26418539174028","34","1","2","237.26418539174028","0","5923.176721324354","6000","0.0","5712.9125359326135","315.3962780876104","0","0","315.3962780876104","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-04-22","17","210.26418539174028"
"2024-04-29","AT6755000","Computer Service and Rentals","202.03656483921418","15","4","4","209.03656483921418","0","5712.9125359326135","6000","0.0","5510.875971093399","303.05484725882127","0","0","303.05484725882127","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-04-29","18","202.03656483921418"
"2024-05-06","AT6755000","Computer Service and Rentals","194.4791946719745","1","3","3","187.4791946719745","0","5510.875971093399","6000","0.0","5316.396776421425","291.7187920079618","0","0","291.7187920079618","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-05-06","19","194.4791946719745"
"2024-05-13","AT6755000","Computer Service and Rentals","187.70227836477525","49","2","1","212.70227836477525","0","5316.396776421425","6000","0.0","5128.6944980566495","281.5534175471629","0","0","281.5534175471629","","","","Seasonal01","n/a","n/a","0.5025124757556605","168","328","2024-05-13","20","187.70227836477525"
