Item,Organization,Description
AT6755000,002,Vision Tablet Accessories (ATO)
AT6751000,002,Vision Slimline 5000 Custom Tablet
AT6752000,002,Vision Slimline 5200 Custom Tablet
AT6751010,002,Vision Slimline 5001 Custom Tablet
AT6755010,002,Vision Tablet Accessories (ATO)
AT6751000-VENKAT,002,Vision Slimline 5000 Custom Tablet
AS4751200,002,"Vision Slimline 5100 Tablet, 32 GB, 8"" Display"
CM50016,002,Vision E3-8860 10-core 2.13 GHz
CM53037,002,Vision Rack I 1012RU
CM53039,002,Vision Blade 6000 Chassis
CM53038,002,Vision Rack I 1018RU
CM53035,002,Vision Rack II 1042RU
CM53036,002,Vision Rack II 1242RU
CM50011,002,Vision E3-2450 8 Cores 2.1 Ghz
CM50010,002,Vision E3-2440 6 Cores 2.4 Ghz
CM50008,002,Vision E3-1220 4 Cores 3.1 GHz
CM50015,002,Vision E3-4870 10-core 2.4 GHz
CM50013,002,Vision E3-4640 8 Cores 2.4 Ghz
CM50009,002,Vision E3-1290 4 Cores 3.6 GHz
CM50012,002,Vision E3-2470 8 Cores 2.3 Ghz
CM50014,002,Vision E3-4650 8 Cores 2.7 Ghz
CM53060,002,Graphics Card - Vision Extreme 1GB Dedicated Memory
AS09743,002,Vision Cloud 250GB Backup
AS09745,002,Vision Cloud 1TB Backup
CM42053,002,Vision Standard Wired Keyboard
CM42049,002,Vision Wireless Trackball Mouse
CM42057,002,"17"" Vision Laptop Case"
CM42052,002,Vision AnySurface Laser Mouse
AS09746,002,Vision Cloud 2TB Backup
AS09744,002,Vision Cloud 500GB Backup
CM42058,002,"15"" Vision Laptop Case"
CM42051,002,Vision USB Optical Mouse
AS00120,002,Vision Wireless Utility
CM42059,002,"15"" Vision ""On-the-Go"" Mobile Workspace Bag"
CM42050,002,Vision Bluetooth Optical Mouse
AS06502,002,Vision Networking Card
CM53058,002,Graphics Card - Vision Standard Shared Memory
CM53059,002,Graphics Card - Vision Extreme 256 Dedicated Memory
AT6751000*140*,002,Vision Slimline 5000 Custom Tablet
AS6647433,002,"Vision Slimline 5100 Tablet, 64GB, 8"" Display"
AS6647432,002,"Vision Slimline 5100 Tablet, 32GB, 8"" Display"
AS6647431,002,"Vision Slimline 5100 Tablet, 16GB, 8"" Display"
AS4751100,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display"
AS6647434,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display - For New Product Launch"
AS6647332,002,"Vision In Tab Mini Slimline 4000 Tablet, 64 GB, 8"" Display"
AS6648332,002,"Vision InTab Air Series 6000 Slimline Tablet, 32GB, 10.1"" Display"
AS4751300,002,"Vision Slimline 5100 Tablet, 64 GB, 8"" Display"
AS6648334,002,"Vision InTab Air Series 6000 Slimline Tablet, 128GB, 10.1"" Display"
AS4751500,002,"Vision Slimline 5100 Tablet, 128 GB, 8"" Display, Ultra Model"
AS85030,002,Vision Custom Server
AS6647435,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display - For New Product Launch"
AS6647440,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display - New Product Launch"
AS6648335,002,"Vision InTab Air Series 6000 Slimline Tablet, 16GB, 10.1"" Display"
AS6647439,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display - New Product Launch"
AS6647438,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display - New Product Launch"
AS6647437,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display - New Product Launch"
AS6647436,002,"Vision Slimline 5100 Tablet, 16 GB, 8"" Display - New Product Launch"
AS6647331,002,"Vision In Tab Mini Slimline 4000 Tablet, 32 GB, 8"" Display"
AS6647333,002,"Vision In Tab Mini Slimline 4000 Tablet, 128GB, 8"" Display"
AS6648331,002,"Vision InTab Air Series 6000 Slimline Tablet, 16GB, 10.1"" Display"
AS6648333,002,"Vision InTab Air Series 6000 Slimline Tablet, 64GB, 10.1"" Display"
AT6751000*110*,002,Vision Slimline 5000 Custom Tablet
AT6752000*150*,002,Vision Slimline 5200 Custom Tablet
AS4751103,002,"Vision Slimline 5100 Tablet, 64 GB, 8"" Display"
ASSET_ITEM_02,002,"Vision Slimline 5100 Tablet, 32 GB, 8"" Display"
AT6755000*1010,002,Vision Tablet Accessories
AT6755000*1009,002,Vision Tablet Accessories
AT6755000*1008,002,Vision Tablet Accessories
