"Period","Item","Location","Orders_Complete","Orders_Open","Orders_Cancelled","Orders_Returned","Forecast01","Forecast02","Inventory_starting","Inventory_capacity","Inventory_production","Inventory_end","SafetyStock01","SafetyStock02","SafetyStock03","Net_Requirement","Outcome01","Outcome02","Outcome03","Trend_type","Trend_factor1","Trend_factor2","Trend_factor3","Trend_factor4","Trend_factor5","Last_Period","Last_X_Value","Last_Y_Value"
"2024-01-01","AT6751000","Business World","763","11","1","4","619","0","0.0","7000","5833.5","5070.5","1144.5","1941","0","1144.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-01-01","1","763"
"2024-01-08","AT6751000","Business World","803","36","4","4","798","0","5070.5","7000","0.0","4267.5","1204.5","2031","0","1204.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-01-08","2","803"
"2024-01-15","AT6751000","Business World","843","40","5","5","940","0","4267.5","7000","1658.5","5083.0","1264.5","2121","0","1264.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-01-15","3","843"
"2024-01-22","AT6751000","Business World","883","27","1","1","811","0","5083.0","7000","2074.0","6274.0","1324.5","2211","0","1324.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-01-22","4","883"
"2024-01-29","AT6751000","Business World","923","50","2","5","1001","0","6274.0","7000","0.0","5351.0","1384.5","2301","0","1384.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-01-29","5","923"
"2024-02-05","AT6751000","Business World","963","28","2","1","991","0","5351.0","7000","0.0","4388.0","1444.5","2391","0","1444.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-02-05","6","963"
"2024-02-12","AT6751000","Business World","1003","38","2","1","900","0","4388.0","7000","0.0","3385.0","1504.5","2481","0","1504.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-02-12","7","1003"
"2024-02-19","AT6751000","Business World","1043","39","3","2","979","0","3385.0","7000","6303.0","8645.0","1564.5","2571","0","1564.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-02-19","8","1043"
"2024-02-26","AT6751000","Business World","1083","2","4","4","1088","0","8645.0","7000","0.0","7562.0","1624.5","2661","0","1624.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-02-26","9","1083"
"2024-03-04","AT6751000","Business World","1123","31","3","2","1269","0","7562.0","7000","0.0","6439.0","1684.5","2751","0","1684.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-03-04","10","1123"
"2024-03-11","AT6751000","Business World","1163","25","1","4","1325","0","6439.0","7000","960.0","6236.0","1744.5","2841","0","1744.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-03-11","11","1163"
"2024-03-18","AT6751000","Business World","1203","40","5","5","983","0","6236.0","7000","3949.0","8982.0","1804.5","2931","0","1804.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-03-18","12","1203"
"2024-03-25","AT6751000","Business World","1243","12","3","1","1119","0","8982.0","7000","1045.0","8784.0","1864.5","3021","0","1864.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-03-25","13","1243"
"2024-04-01","AT6751000","Business World","1283","18","5","4","1080","0","8784.0","7000","0.0","7501.0","1924.5","3111","0","1924.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-04-01","14","1283"
"2024-04-08","AT6751000","Business World","1323","1","1","2","1136","0","7501.0","7000","1518.0","7696.0","1984.5","3201","0","1984.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-04-08","15","1323"
"2024-04-15","AT6751000","Business World","1363","2","5","3","1103","0","7696.0","7000","0.0","6333.0","2044.5","3291","0","2044.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-04-15","16","1363"
"2024-04-22","AT6751000","Business World","1403","22","2","5","1349","0","6333.0","7000","664.0","5594.0","2104.5","3381","0","2104.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-04-22","17","1403"
"2024-04-29","AT6751000","Business World","1443","49","5","4","1299","0","5594.0","7000","5406.0","9557.0","2164.5","3471","0","2164.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-04-29","18","1443"
"2024-05-06","AT6751000","Business World","1483","27","4","4","1590","0","9557.0","7000","0.0","8074.0","2224.5","3561","0","2224.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-05-06","19","1483"
"2024-05-13","AT6751000","Business World","1523","8","4","2","1406","0","8074.0","7000","1291.0","7842.0","2284.5","3651","0","2284.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-05-13","20","1523"
"2024-05-20","AT6751000","Business World","1563","28","4","4","1693","0","7842.0","7000","893.0","7172.0","2344.5","3741","0","2344.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-05-20","21","1563"
"2024-05-27","AT6751000","Business World","1603","48","5","1","1360","0","7172.0","7000","3521.0","9090.0","2404.5","3831","0","2404.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-05-27","22","1603"
"2024-06-03","AT6751000","Business World","1643","34","3","5","1926","0","9090.0","7000","0.0","7447.0","2464.5","3921","0","2464.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-06-03","23","1643"
"2024-06-10","AT6751000","Business World","1683","47","2","2","1606","0","7447.0","7000","2220.0","7984.0","2524.5","4011","0","2524.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-06-10","24","1683"
"2024-06-17","AT6751000","Business World","1723","9","4","2","2054","0","7984.0","7000","0.0","6261.0","2584.5","4101","0","2584.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-06-17","25","1723"
"2024-06-24","AT6751000","Business World","1763","38","5","4","1678","0","6261.0","7000","2723.0","7221.0","2644.5","4191","0","2644.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-06-24","26","1763"
"2024-07-01","AT6751000","Business World","1803","30","4","3","2091","0","7221.0","7000","2498.0","7916.0","2704.5","4281","0","2704.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-07-01","27","1803"
"2024-07-08","AT6751000","Business World","1843","4","5","5","1542","0","7916.0","7000","957.0","7030.0","2764.5","4371","0","2764.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-07-08","28","1843"
"2024-07-15","AT6751000","Business World","1883","12","5","1","2211","0","7030.0","7000","4472.0","9619.0","2824.5","4461","0","2824.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-07-15","29","1883"
"2024-07-22","AT6751000","Business World","1923","19","2","5","2194","0","9619.0","7000","1604.0","9300.0","2884.5","3792","0","2884.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-07-22","30","1923"
"2024-07-29","AT6751000","Business World","1963","37","2","2","1640","0","9300.0","7000","2701.0","10038.0","2944.5","4641","0","2944.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-07-29","31","1963"
"2024-08-05","AT6751000","Business World","2003","29","5","2","1995","0","10038.0","7000","0.0","8035.0","3004.5","4731","0","3004.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-08-05","32","2003"
"2024-08-12","AT6751000","Business World","2043","48","1","2","2077","0","8035.0","7000","0.0","5992.0","3064.5","4821","0","3064.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-08-12","33","2043"
"2024-08-19","AT6751000","Business World","2083","41","4","5","2471","0","5992.0","7000","3729.0","7638.0","3124.5","4911","0","3124.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-08-19","34","2083"
"2024-08-26","AT6751000","Business World","2123","20","2","4","1836","0","7638.0","7000","0.0","5515.0","3184.5","5001","0","3184.5","Low, fix with: 1.25","","","Slope01","40","723","n/a","n/a","n/a","2024-08-26","35","2123"
"2024-09-02","AT6751000","Business World","2163","47","3","3","2416","0","5515.0","7000","6086.0","9438.0","3244.5","5091","0","3244.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-09-02","36","2163"
"2024-09-09","AT6751000","Business World","2203","5","4","3","1951","0","9438.0","7000","0.0","7235.0","3304.5","5181","0","3304.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-09-09","37","2203"
"2024-09-16","AT6751000","Business World","2243","22","4","3","2574","0","7235.0","7000","6104.0","11096.0","3364.5","5271","0","3364.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-09-16","38","2243"
"2024-09-23","AT6751000","Business World","2283","48","5","5","2492","0","11096.0","7000","399.0","9212.0","3424.5","5361","0","3424.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-09-23","39","2283"
"2024-09-30","AT6751000","Business World","2323","16","4","2","2491","0","9212.0","7000","0.0","6889.0","3484.5","5451","0","3484.5","VeryLow, fix with: 1.5","","","Slope01","40","723","n/a","n/a","n/a","2024-09-30","40","2323"
