"Item","Location","Status","LifeCycle","TrendNPI","TrendCORE","TrendEOL","DateNPI","DateCORE","DateEOL","SafetyStockType","InitialSafetyStockValue"
"AT6751000","Business World","Active","NPI","Slope01","Combined01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","100"
"AT6751000","Accelworks Pvt Ltd","Active","Core","Combined01","Slope01","Seasonal01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","15"
"AT6752000","Accelworks Pvt Ltd","Active","Core","Combined01","Seasonal01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","54"
"CM53037","Business World","Active","Core","Seasonal01","Combined01","Slope01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","92"
"CM53037","Computer Service and Rentals","Active","Core","Slope01","Seasonal01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","72"
"CM53039","Business World","Active","EOL","Intermittent01","Combined01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","28"
"CM53038","Computer Service and Rentals","Active","NPI","Combined01","Combined01","Seasonal01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","2"
"CM53035","Computer Service and Rentals","Inactive","Core","Slope01","Combined01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","52"
"CM53036","Business World","Active","Core","Slope01","Slope01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","20"
"CM53036","Accelworks Pvt Ltd","Active","Core","Slope01","Intermittent01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","29"
"CM50011","Business World","Active","EOL","Combined01","Slope01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","88"
"CM50011","Accelworks Pvt Ltd","Active","EOL","Slope01","Seasonal01","Slope01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","65"
"CM50010","Business World","Active","EOL","Slope01","Combined01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","98"
"CM50008","Business World","Active","Core","Intermittent01","Combined01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","20"
"CM50009","Business World","Active","NPI","Combined01","Slope01","Slope01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","27"
"CM50014","Computer Service and Rentals","Active","EOL","Combined01","Seasonal01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","33"
"CM50014","Accelworks Pvt Ltd","Active","Core","Seasonal01","Seasonal01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","58"
"CM53060","Accelworks Pvt Ltd","Active","NPI","Seasonal01","Combined01","Slope01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","27"
"AS09743","Business World","Active","Core","Combined01","Combined01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","60"
"AS09743","Computer Service and Rentals","Active","EOL","Intermittent01","Combined01","Combined01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","23"
"AS09745","Accelworks Pvt Ltd","Inactive","EOL","Combined01","Combined01","Intermittent01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","55"
"CM42052","Business World","Active","Core","Slope01","Slope01","Slope01","2023-01-01","2023-01-01","2027-01-01","Rolling_6-Period_Average","87"
