"Period","Item","Location","Orders_Complete","Orders_Open","Orders_Cancelled","Orders_Returned","Forecast01","Forecast02","Inventory_starting","Inventory_capacity","Inventory_production","Inventory_end","SafetyStock01","SafetyStock02","SafetyStock03","Net_Requirement","Outcome01","Outcome02","Outcome03","Trend_type","Trend_factor1","Trend_factor2","Trend_factor3","Trend_factor4","Trend_factor5","Last_Period","Last_X_Value","Last_Y_Value"
"2024-01-01","AS06502","Computer Service and Rentals","424.5715426406391","8","5","4","465.5715426406391","0","0.0","12800","4170.857313960959","3746.28577132032","636.8573139609587","1399","0","636.8573139609587","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-01-01","1","424.5715426406391"
"2024-01-08","AS06502","Computer Service and Rentals","504.0254078759177","34","5","4","594.0254078759177","0","3746.28577132032","12800","10200.790452307434","13443.050815751836","756.0381118138766","1577","0","756.0381118138766","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-01-08","2","504.0254078759177"
"2024-01-15","AS06502","Computer Service and Rentals","583.2674599559955","12","2","4","591.2674599559955","0","13443.050815751836","12800","0.0","12859.78335579584","874.9011899339932","1754","0","874.9011899339932","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-01-15","3","583.2674599559955"
"2024-01-22","AS06502","Computer Service and Rentals","662.308751468295","17","5","1","680.308751468295","0","12859.78335579584","12800","0.0","12197.474604327545","993.4631272024425","1931","0","993.4631272024425","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-01-22","4","662.308751468295"
"2024-01-29","AS06502","Computer Service and Rentals","741.1632625413902","50","4","1","595.1632625413902","0","12197.474604327545","12800","0.0","11456.311341786155","1111.7448938120851","2108","0","1111.7448938120851","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-01-29","5","741.1632625413902"
"2024-02-05","AS06502","Computer Service and Rentals","819.847696983252","35","3","2","668.847696983252","0","11456.311341786155","12800","0.0","10636.463644802903","1229.7715454748782","2284","0","1229.7715454748782","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-02-05","6","819.847696983252"
"2024-02-12","AS06502","Computer Service and Rentals","898.3812387021137","50","2","2","1048.3812387021137","0","10636.463644802903","12800","1648.6800713034381","11386.762477404227","1347.5718580531707","2461","0","1347.5718580531707","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-02-12","7","898.3812387021137"
"2024-02-19","AS06502","Computer Service and Rentals","976.7852719618907","16","3","4","1002.7852719618907","0","11386.762477404227","12800","3206.5933384814452","13616.57054392378","1465.177907942836","2637","0","1465.177907942836","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-02-19","8","976.7852719618907"
"2024-02-26","AS06502","Computer Service and Rentals","1055.0830695514594","40","5","4","1125.0830695514594","0","13616.57054392378","12800","0.0","12561.487474372321","1582.624604327189","2812","0","1582.624604327189","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-02-26","9","1055.0830695514594"
"2024-03-04","AS06502","Computer Service and Rentals","1133.2994534149902","37","2","2","1037.2994534149902","0","12561.487474372321","12800","0.0","11428.188020957332","1699.9491801224854","2988","0","1699.9491801224854","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-03-04","10","1133.2994534149902"
"2024-03-11","AS06502","Computer Service and Rentals","1211.4604326921067","46","2","2","1321.4604326921067","0","11428.188020957332","12800","0.0","10216.727588265225","1817.19064903816","3164","0","1817.19064903816","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-03-11","11","1211.4604326921067"
"2024-03-18","AS06502","Computer Service and Rentals","1289.592824446062","24","5","2","1348.592824446062","0","10216.727588265225","12800","0.0","8927.134763819162","1934.389236669093","3340","0","1934.389236669093","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-03-18","12","1289.592824446062"
"2024-03-25","AS06502","Computer Service and Rentals","1367.7238626105714","25","5","5","1310.7238626105714","0","8927.134763819162","12800","7691.036824012552","15250.44772522114","2051.585793915857","3516","0","2051.585793915857","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-03-25","13","1367.7238626105714"
"2024-04-01","AS06502","Computer Service and Rentals","1445.8808008577316","9","3","4","1677.8808008577316","0","15250.44772522114","12800","0.0","13804.566924363407","2168.8212012865974","3693","0","2168.8212012865974","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-04-01","14","1445.8808008577316"
"2024-04-08","AS06502","Computer Service and Rentals","1524.090515178113","38","1","5","1725.090515178113","0","13804.566924363407","12800","0.0","12280.476409185294","2286.1357727671693","3869","0","2286.1357727671693","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-04-08","15","1524.090515178113"
"2024-04-15","AS06502","Computer Service and Rentals","1602.3791119682965","7","3","4","1790.3791119682965","0","12280.476409185294","12800","0.0","10678.097297216998","2403.5686679524447","4046","0","2403.5686679524447","VeryLow, fix with: 1.5","","","Combined01","80","96","0.5365552729469014","218","249","2024-04-15","16","1602.3791119682965"
