"Item","Location","Status","LifeCycle","TrendNPI","TrendCORE","TrendEOL","DateNPI","DateCORE","DateEOL","SafetyStockType","InitialSafetyStockValue"
"MECLC0001","AMERB0004","Active","EOL","Slope01","Seasonal01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","93"
"MECLC0001","AMERB0006","Active","NPI","Slope01","Combined01","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","55"
"MECLC0001","AMERC001","Active","EOL","Seasonal01","Combined01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","34"
"MECLC0001","AMERC004","Active","EOL","Seasonal01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","26"
"MECLC0001","AMERD0000001","Active","NPI","Slope01","Slope01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","63"
"MECLC0001","AMERD0000006","Active","Core","Seasonal01","Intermitent","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","76"
"MECLC0001","AMERE001","Active","NPI","Combined01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","31"
"MECLC0001","EMEAA001","Active","Core","Combined01","Slope01","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","72"
"MECLC0001","EMEAA002","Active","Core","Seasonal01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","79"
"MECLC0001","EMEAA004","Active","EOL","Slope01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","91"
"MECLC0001","EMEAB00002","Active","Core","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","4"
"MECLC0001","EMEAB00003","Active","NPI","Combined01","Slope01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","5"
"MECLC0001","EMEAB00007","Active","Core","Combined01","Slope01","Intermitent","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","84"
"MECLC0001","EMEAB00008","Active","Core","Combined01","Combined01","Slope01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","97"
"MECLC0001","EMEAD0001","Active","EOL","Combined01","Slope01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","28"
"MECLC0001","EMEAD0002","Active","NPI","Combined01","Combined01","Seasonal01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","66"
"MECLC0001","APACA002","Active","NPI","Combined01","Combined01","Combined01","2018-01-01","2019-01-01","2025-01-01","Rolling_6-Period_Average","5"
